p-value	FDR_BH	f-score	row_number	mz	retention_time	mock_6hr_01	mock_6hr_02	mock_6hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
0.0005664951555186923	0.019606618044900194	-9.979459115701468	row_984	177.1227	42.0	16.4	17.268673530293476	17.168161157314806	13.418078283185702	13.904057978327245	13.923938799329056
0.0005700926029916949	0.01964607914189052	-9.963152416406585	row_7321	507.0064	46.0	17.45	17.61446614346076	17.606540569289	15.928228289013598	15.305801406831696	15.726963808523612
0.0005963413732287407	0.02017875148157129	9.847912528008157	row_7955	613.1803	104.0	9.97	10.447128343266138	10.164285435773673	14.418056740791938	16.089128616878302	15.7790743579223
0.0005966669546280512	0.02017875148157129	-9.846522881134545	row_6272	279.5712	323.0	15.05	15.602581848669288	15.455422989601692	9.540610794508465	10.811976886038012	8.97343660645383
0.0005967975588557231	0.02017875148157129	9.84596570057675	row_5839	278.10400000000004	140.0	13.17	14.03079724336345	13.763074561980398	16.509848412315183	17.212584747076722	17.071415983009725
0.0005968322676061838	0.02017875148157129	-9.845817652416738	row_7187	687.1234	41.0	17.16	17.10101650572752	17.01523810662614	12.673196370887181	12.893978154846096	13.95520512896827
0.00059816936849686	0.02017875148157129	-9.840122450275608	row_1079	186.5373	161.0	15.31	14.848125238122485	15.108797408040704	10.173250226871595	11.54376941121313	10.390843550098106
0.0006047771330715318	0.020315937726499565	-9.812207779332523	row_2480	602.1584	509.0	14.82	15.00530369865307	15.24133071863755	9.244698801951518	9.420540394507858	7.441386454132445
0.000612337613729567	0.020404895825603363	9.780729144299558	row_2548	666.9892	44.0	18.8	19.00811516016527	18.707586534247433	19.815899639503147	20.046992415008518	19.916651980178013
0.0006125297058342473	0.020404895825603363	-9.779935647949207	row_7636	326.5572	295.0	13.06	13.61165468194856	13.905802742623159	9.591630103570008	10.276016163374546	10.390843550098106
0.0006186143435599403	0.020522081646314205	-9.75495985101507	row_4165	851.4689	39.0	17.02	17.258194966258102	17.300694467911654	15.42823906021048	15.718078885803592	15.174591984897535
0.0006220768948860028	0.02055077994588932	9.740882762347203	row_7912	590.1473	418.0	8.57	9.80793593710843	9.827854724258597	14.19357178092115	13.96589960017303	13.517476514019302
0.0006246203285617392	0.02055077994588932	-9.73060418882515	row_1843	310.0853	100.0	16.45	17.47824481100092	17.514786738875795	9.612037827194625	11.420086167521562	11.130813351559455
0.0006376411172497785	0.02089319972299991	-9.67878606022853	row_1840	309.0929	135.0	17.36	17.960258756628047	18.146868681722303	14.142552471859606	12.873364280897501	13.67380816221536
0.000647896283012321	0.021118273385716545	-9.638890121754994	row_6041	647.4964	41.0	15.94	16.377995587286836	16.005945972080905	13.693582552118032	13.337176444740884	12.798350932317426
0.0006543736361545969	0.021118273385716545	9.614092792655056	row_4271	867.8037	41.0	19.34	19.437736285615536	19.339668477093937	19.683249435943132	19.686249620908107	19.69778767270353
0.0006549551148798087	0.021118273385716545	-9.611881621310468	row_2300	469.1272	109.0	15.46	16.430388407463695	16.984653496488402	10.173250226871595	9.688520755839592	11.15165757131893
0.0006550758973930835	0.021118273385716545	9.6114226309459	row_7468	267.1318	71.0	12.63	12.605712534552822	11.989167173991813	16.234344143382852	16.480792221901602	15.435144731890968
0.0006620017069990284	0.02123999858586513	-9.585277904412637	row_2053	369.0819	124.0	15.75	15.69688892498764	15.720489610795388	14.367037431730395	14.687385188373849	14.236602095721176
0.0006664616585491869	0.02123999858586513	-9.568620743972607	row_1787	299.0491	107.0	19.28	20.10836438387936	19.747463278930393	17.407788251798333	17.26411943194821	17.425767718920795
0.0006668217192060223	0.02123999858586513	9.567282016388969	row_1762	295.0932	163.0	19.74	19.36438633736793	19.390642827323493	20.775062649860143	20.933388994798097	20.719154440917787
0.0006747119412499152	0.021406039564655043	-9.538168955024966	row_2073	374.0361	102.0	13.95	14.743339597768763	15.251525588683464	10.34671587768084	9.142253096201827	9.744672737554392
0.0006922164093738154	0.021790850126907284	-9.475063490757169	row_6029	539.8061	527.0	14.13	13.89457591090361	14.150479623725033	13.15277787606568	13.244414011972207	13.079747899070334
0.0006922921741381427	0.021790850126907284	9.47479466839519	row_7700	653.8532	39.0	15.58	15.214874979360514	15.526787079923071	16.8873912993706	16.76938645718193	16.612843148301284
0.0006979578762015655	0.021883032236202027	9.45479489657234	row_7841	236.0944	120.0	11.59	10.562392547655234	11.132798090135255	13.91806751198882	14.336949331247737	14.132380996923803
0.0007026733401445017	0.02194481779084098	-9.438302427072852	row_381	130.0983	62.0	18.19	18.44227270225517	18.10608920153866	17.142487844678314	17.191970873128128	17.290280290484212
0.0007137293696124706	0.022203370856232304	-9.400166302686841	row_1559	253.0847	169.0	19.46	19.217686440872715	19.237719776634826	17.71390410616759	17.212584747076722	17.071415983009725
0.0007223722191597278	0.02238513911698459	9.37086095164912	row_1230	202.0279	112.0	15.21	14.921475186370092	14.86412052693883	16.581275445001342	17.171356999179533	16.90466222493393
0.0007334141482191213	0.022557429230510958	-9.334047731327393	row_3013	741.3904	40.0	16.91	17.059102249586033	17.168161157314806	14.509891497102714	14.749226810219634	15.26839097381517
0.0007335749343255597	0.022557429230510958	-9.333516766823164	row_4276	868.8499	41.0	20.18	20.192192896162336	20.02272477017	19.35672585794926	19.335813763781996	19.12457162931798
0.0007443721220980495	0.022801743740129908	9.298187970781912	row_7861	285.1139	99.0	9.82	10.667178188008956	9.64434706343219	13.92827137380113	14.790454558116823	15.226702534296221
0.0007499921909597756	0.02283980949007387	-9.280049514654262	row_7008	345.0277	42.0	16.51	17.237237838187358	16.882704796029287	11.979333767650202	12.718760226283038	11.016170142882345
0.0007513283171844187	0.02283980949007387	-9.275762040767455	row_1070	185.54	162.0	19.23	19.406300593509417	19.217330036543	18.12205857865993	18.418496373069523	18.33249127845794
0.0007594845153007873	0.02300029810541589	-9.249793233106745	row_7614	140.5056	62.0	13.85	14.91099662233472	14.517494945377843	11.479344538847084	11.605611033058915	11.339255549154203
0.0007707479451847229	0.023129920704039027	9.214494457436487	row_6259	241.0791	114.0	9.97	10.447128343266138	11.45903393160442	15.71394719095512	15.635623390009213	14.851506578625678
0.0007720096526886172	0.023129920704039027	-9.210580233923388	row_2058	370.0653	162.0	20.44	20.192192896162336	20.165452950812764	19.1628524835154	19.35642763773059	19.11414951943824
0.0007724438809228793	0.023129920704039027	-9.209234952826463	row_7123	574.9908	46.0	18.15	18.463229830325915	18.177453291860036	16.54045999775211	16.047900868981113	15.841607017200722
0.0007794679693805563	0.023199668491922752	-9.187603084229892	row_6704	557.1399	316.0	15.14	15.969331589907318	15.7306844808413	12.407895963767158	12.584770045617173	13.079747899070334
0.0007805767134868317	0.023199668491922752	-9.184210615318632	row_6317	423.0453	45.0	20.52	20.92569237863839	20.58344262269513	18.622047807463048	18.38757556214663	17.853074223990024
0.0007972004930214908	0.023529744438120993	-9.134051651012813	row_5121	615.1487	295.0	14.92	15.581624720598542	15.43503324950987	10.173250226871595	9.028876789484556	10.891104824325497
0.0008001964470594515	0.023529744438120993	-9.125149891297562	row_2192	422.17199999999997	516.0	15.43	15.162482159183654	15.210746108499817	14.387445155355012	14.316335457299143	14.153225216683278
0.0008005116306652795	0.023529744438120993	9.124215802062619	row_5890	321.0663	163.0	14.67	14.428982676707594	14.599053905745134	15.448646783835098	15.748999696726484	15.58105427020729
0.000804846281748544	0.02357049825120736	-9.11141556307206	row_4364	890.9291	40.0	16.17	16.81809527677247	16.587053564697857	14.754784180598119	14.419404827042117	14.580531721752507
0.0008235502153810459	0.024030233474348402	9.057147065665976	row_7888	339.0896	112.0	9.97	8.749600969535832	10.164285435773673	13.724194137554957	14.213266087556166	14.517999062474084
0.0008386786065761171	0.024207745789253353	9.014358922670002	row_3663	797.2389999999999	39.0	16.48	16.472302663605188	16.38315616377963	17.846554309727598	18.160822948712088	17.623787806635804
0.000840643258836409	0.024207745789253353	9.008872481676478	row_6338	598.9996	45.0	18.87	19.17577218473123	18.8605095849361	19.979161428500078	20.23251728054587	20.12509417777276
0.0008413643978846831	0.024207745789253353	9.006862633471194	row_7676	229.979	68.0	13.73	13.42304052931186	13.498007940786701	14.520095358915023	14.769840684168228	14.580531721752507
0.0008417452569621554	0.024207745789253353	-9.005802023157814	row_7316	480.2007	57.0	19.34	19.961664487384148	19.604735098287634	18.030223822349154	17.923763398303244	17.821807894350815
0.0008500314976858873	0.02435842947669774	8.98287286384508	row_6253	234.0696	142.0	13.37	13.09820504421532	14.242233454138235	16.75474109581059	16.841535016002013	16.602421038421546
