mz	rtime	p-value	FDR_BH
112.9786	137	0.5004476581731446	0.8805908217621418
113.0236	321	0.41102575367609084	0.8510831330359784
113.0359	478	0.5034076719611118	0.8808042599734999
113.06	19	0.5612623952858276	0.8957381744619255
113.0601	486	0.4872799904343673	0.8755294655150853
113.0713	152	0.7425276869991174	0.940789796678127
113.0965	306	0.06489876059280955	0.8024026159679822
113.1159	534	0.44203469713872534	0.8623727103041458
113.9639	378	0.7719944466882604	0.946079757269059
114.0174	572	0.09039376014365613	0.8024026159679822
114.0665	82	0.03818243420543189	0.8024026159679822
114.0737	398	0.2733094002762854	0.8024026159679822
114.0917	166	0.9776162662425255	0.9881609289969515
114.1281	490	0.6668482318037605	0.9224317613465253
114.5587	122	0.8398475884054047	0.9539222224020384
114.5587	512	0.7407576022617257	0.940417161073501
114.9617	322	0.5883387521091498	0.8964818375015688
115.0161	556	0.24933244214876996	0.8024026159679822
115.0391	316	0.06694841401776194	0.8024026159679822
115.0505	481	0.9803921925536911	0.9881609289969515
115.0602	109	0.9299439642197804	0.980648108929627
115.0592	507	0.48427406780009097	0.8749641975566412
115.0698	69	0.05781860702580041	0.8024026159679822
115.0869	117	0.17074334063346355	0.8024026159679822
115.095	172	0.21446776912214618	0.8024026159679822
115.1121	14	0.4445107562099091	0.8623727103041458
115.112	492	0.3640526575067212	0.829557276482562
115.1233	495	0.4555496701178665	0.863053284543885
115.5575	122	0.7485884619903029	0.940937057158543
115.5575	516	0.813297141216398	0.9473173652691366
116.059	121	0.7453941652543636	0.9408773399934138
116.0709	96	0.5149789548995702	0.8810567432265923
116.1073	83	0.24621667773666975	0.8024026159679822
117.056	348	0.06517430931375974	0.8024026159679822
117.067	139	0.4320706278616505	0.8585352918797358
117.0742	93	0.5341408460863053	0.8853074905962995
117.0913	282	0.7151669242312444	0.9370883596164007
117.1025	250	0.012915882666715967	0.722968743213608
117.1106	425	0.4238542242654595	0.856519895373741
118.0866	95	0.3525274992951759	0.829557276482562
118.1229	457	0.35035882451879063	0.829557276482562
118.5479	134	0.08855710068762797	0.8024026159679822
119.014	429	0.16802421982074547	0.8024026159679822
119.0255	440	0.7645531099145282	0.946079757269059
119.0494	80	0.26530870485807406	0.8024026159679822
119.0624	86	0.1830450172808394	0.8024026159679822
119.0624	499	0.8682728030728053	0.9611640789982936
119.0899	90	0.32189683094866217	0.8191359706696333
119.1263	240	0.8101611901344828	0.9470990368116975
119.5232	77	0.45532689010171934	0.863053284543885
119.5232	508	0.5064762428726135	0.8808915543227998
119.5471	452	0.2698022372624231	0.8024026159679822
119.5558	469	0.20052640964764754	0.8024026159679822
120.0447	386	0.45267541604440853	0.863053284543885
120.0559	249	0.13276131832079416	0.8024026159679822
120.0658	96	0.20719524512656465	0.8024026159679822
120.081	86	0.5765623176327466	0.8957381744619255
120.0907	90	0.10244371002065895	0.8024026159679822
120.5421	134	0.14546536396655727	0.8024026159679822
121.0236	15	0.9324878072530616	0.9814322349643178
121.04	457	0.21269064578647034	0.8024026159679822
121.0593	260	0.8428976713794372	0.9558257062605924
121.0845	86	0.8139721172244074	0.9473173652691366
121.1014	12	0.45348721858713614	0.863053284543885
121.9746	102	0.28011515898550365	0.8024026159679822
122.5474	471	0.31373273151563097	0.813535161403447
122.9779	88	0.06882906051660309	0.8024026159679822
123.0405	126	0.9801989518068439	0.9881609289969515
123.0406	476	0.7345332276202384	0.9370883596164007
123.049	477	0.4747042942737989	0.8693757984386268
123.0551	238	0.06142978811734595	0.8024026159679822
123.0792	82	0.8499906142603623	0.9571032526427656
123.0792	589	0.8440959331420855	0.9558257062605924
123.0919	491	0.04944922449730189	0.8024026159679822
123.1171	13	0.013492036313292355	0.722968743213608
123.5453	136	0.520490546275068	0.8810567432265923
123.5454	483	0.20144751147779366	0.8024026159679822
123.5507	485	0.12435839062580188	0.8024026159679822
123.9716	96	0.20644831475692346	0.8024026159679822
124.041	162	0.80594319227905	0.9470990368116975
124.0483	72	0.08087819722311754	0.8024026159679822
124.0615	120	0.7349546791576284	0.9370883596164007
124.0759	239	0.8362389140570572	0.9515195802509663
124.0871	92	0.45666828947707483	0.863053284543885
124.5438	144	0.8208489383292822	0.9482448620223902
124.5438	468	0.4942221974459923	0.8761571116322551
