p-value	FDR_BH	t-score	row_number	mz	retention_time	mock_6hr_01	mock_6hr_02	mock_6hr_03	p_0hr_01	p_0hr_02	p_0hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
0.779710330021864	0.9366054138305597	0.29917000815268885	row_3537	785.9119	38.0	15.78	14.250847088106267	15.15977175827026	19.142101169292868	18.34985341985126	14.92086695045026	14.66294942428734	15.419177713548969	15.58105427020729
0.7797250006884858	0.9366054138305597	0.299149334690647	row_6857	208.0786	151.0	13.6	13.580218989842443	12.101310744496839	13.89487894983893	13.675652312378645	12.89329269585946	13.448689868622628	13.563929058175429	12.767084602678214
0.7797293316920355	0.9366054138305597	-0.29914323160062767	row_4671	1062.8419999999999	47.0	21.06	17.84499455223895	19.767853019022215	23.314473399659413	23.120429807890325	18.36254427490952	20.2444618356201	19.531645566293644	17.84265211411029
0.779743043709344	0.9366054138305597	-0.2991239092228186	row_1135	192.9757	25.0	19.64	20.475114125117386	19.533371007966256	19.054158897458446	18.706441957947114	19.94301241182132	19.417949028823113	19.851160612496866	20.062561518494338
0.7800275983222541	0.936806466664627	-0.29872295805394306	row_2748	716.7949	39.0	13.88	11.683598899440065	16.230233113090957	15.370354843949814	15.83445859706703	13.985063448331427	14.418056740791938	12.924898965768987	13.204813217627182
0.7801889174741816	0.936859476600493	-0.29849567767379054	row_1197	199.0066	91.0	9.97	10.992013673105497	10.164285435773673	14.881786667091905	15.747720844557229	12.175843344235021	10.173250226871595	10.276016163374546	10.390843550098106
0.7805970968164961	0.9369012357529021	-0.29792068345785183	row_5099	493.2974	44.0	18.81	19.553000490004628	19.145965946221622	18.897817080863916	18.378766004021198	19.27755214364793	18.73429028739844	18.944150158758692	19.54145602450747
0.7808406490006654	0.9369012357529021	-0.29757765366560146	row_2983	739.0269	39.0	15.43	14.806210981980998	14.48691033524011	16.74811710268912	17.79087679256588	14.577738999673356	15.652724020081267	13.821602482532864	14.716019150189092
0.7809419225738076	0.9369012357529021	0.29743502804124206	row_5220	728.6118	40.0	14.5	12.280877049456285	11.122603220089344	15.565782114692977	16.162134550992945	12.934883962620296	12.74462340357334	13.770067797661376	12.350200207488722
0.7809667194435743	0.9369012357529021	0.2974001072350649	row_7234	170.0808	421.0	13.18	13.946968731080473	13.926192482714981	13.191340775163539	11.757784229106376	13.610742047483896	14.418056740791938	14.914137801808394	12.43357708652662
